normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
glycochenodeoxycholic acid-3-sulfate,Glycochenodeoxycholic acid-3-sulfate,HMDB0002497,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,529.6870,529.270938000,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycohyodeoxycholic acid-3-sulfate,GlycoHyodeoxycholic acid-3-sulfate,HMDB0304944,CC(CCC(=O)NCC(O)=O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,449.6320,449.314123500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycoursodeoxycholic acid-3-sulfate,Glycoursodeoxycholic acid-3-sulfate,HMDB0002409,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,529.6870,529.270938000,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurolithocholic acid-3-sulfate,TauroLithocholic acid-3-sulfate,HMDB0002580,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,563.7670,563.258658800,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurodeoxycholic acid-3-sulfate,Taurodeoxycholic acid-3-sulfate,HMDB0341535,NULL,577.6800,577.259934000,LC-MS/MS,0,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurochenodeoxycholic acid-3-sulfate,Taurochenodeoxycholic acid-3-sulfate,HMDB0002486,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])C[C@@H](O)[C@]12C)S(O)(=O)=O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,579.7670,579.253573400,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tauroursodeoxycholic acid-3-sulfate,Tauroursodeoxycholic acid-3-sulfate,HMDB0002497,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,529.6870,529.270938000,LC-MS/MS,Steroids and steroid derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxybutyric acid,2-Hydroxybutyric acid,HMDB0000008,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],104.1050,104.047344100,"NMR, LC-MS/MS",Alpha hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
acetic acid,Acetic acid,HMDB0000042,CC(O)=O,60.0520,60.021129370,"NMR, LC-MS/MS",Carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
citric acid,Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,192.1235,192.027002600,"NMR, LC-MS/MS",Tricarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
formic acid,Formic acid,HMDB0000142,OC=O,46.0254,46.005479310,"NMR, LC-MS/MS",Carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
succinic acid,Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,118.0880,118.026608700,"NMR, LC-MS/MS",Dicarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
