normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
4-acetamidobenzoate,4-acetamidobenzoate,100009413,Xenobiotics,Chemical,1,87.90397045,87.90397045,NA,NA,NA,NA,FALSE,FALSE,TRUE
4-aminophenol sulfate (2),4-aminophenol sulfate (2),100010871,Xenobiotics,Drug - Analgesics	 Anesthetics,2,94.94584838,92.89012004,NA,NA,NA,94.94584838,FALSE,FALSE,TRUE
naringenin 7-glucuronide,naringenin 7-glucuronide,100010898,Xenobiotics,Food Component/Plant,4,92.01596806,90.85872576,89.38640133,92.01596806,NA,88.66827116,FALSE,FALSE,TRUE
palmitoyl-oleoyl-glycerol (16:0/18:1) [1],palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,100010916,Lipid,Diacylglycerol,1,49.58448753,49.58448753,NA,NA,NA,NA,FALSE,FALSE,TRUE
palmitoyl-oleoyl-glycerol (16:0/18:1) [2],palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,100010917,Lipid,Diacylglycerol,1,25.94644506,25.94644506,NA,NA,NA,NA,FALSE,FALSE,TRUE
oleoyl-oleoyl-glycerol (18:1/18:1) [1],oleoyl-oleoyl-glycerol (18:1/18:1) [1]*,100010918,Lipid,Diacylglycerol,1,16.06648199,16.06648199,NA,NA,NA,NA,FALSE,FALSE,TRUE
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1],palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,100010924,Lipid,Diacylglycerol,1,45.52169898,45.52169898,NA,NA,NA,NA,FALSE,FALSE,TRUE
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2],palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,100010925,Lipid,Diacylglycerol,1,50.78485688,50.78485688,NA,NA,NA,NA,FALSE,FALSE,TRUE
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2],linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,100010927,Lipid,Diacylglycerol,1,20.96029548,20.96029548,NA,NA,NA,NA,FALSE,FALSE,TRUE
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1],palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,100010930,Lipid,Diacylglycerol,2,100.0,25.94644506,NA,NA,NA,100,FALSE,FALSE,TRUE
